trip_id,departure,destination,duree
OCESN035129R0300319263,Igney (Centre),Sarrebourg-LP-Messmer,45
OCESN035129R0400419264,Sarrebourg,Igney (Centre),39
OCESN035153R0200219281,Longuyon,Longwy,32
OCESN035169R0200219296,Longuyon,Montmédy,39
OCESN035179R0200219303,Longuyon,Vezin-Carrefour,33
OCESN035187R0200219307,Morhange,Sarrebourg,94
OCESN035191R0200219309,Sarrebourg,Loudrefing,34
OCESN035195R0200219311,Morhange,Rémilly,48
OCESN035202R0200219313,Longuyon (Collège),Vezin-Carrefour,23
OCESN035203R0300319314,Sarrebourg,St-Jean-de-Bassel-Eglis,35
OCESN035211R0200219319,Nancy-Ville,Neufchâteau,62
OCESN035214R0200219320,Fénétrange (Gendarm.),Sarrebourg-Hôpital,42
OCESN035216R0300319322,Loudrefing,Sarrebourg-LP-Messmer,54
OCESN035224R0300319325,Sarrebourg (Place Math),St-Jean-de-Bassel-Eglis,24
OCESN035224R0400419326,Sarrebourg-LP-Messmer,St-Jean-de-Bassel-Eglis,31
OCESN035225R0400419328,Neufchâteau,Toul,45
OCESN035225R0500519327,Toul,Neufchateau-Lp,59
OCESN035232R0500519330,Nancy-Ville,Neufchateau-Lp,88
OCESN035233R0200219331,Allamps-Esat,Toul,30
OCESN035241R0200219338,Creutzwald G.R.,Thionville,110
OCESN035266R0200219351,Fénétrange (Gendarm.),Sarrebourg-LP-Messmer,30
OCESN035268R0800819352,St-Dié-des-Vosges,Laveline-d-Bruy. Mairie,64
OCESN035270R0200219353,Epinal,St-Dié-des-Vosges,65
OCESN035272R0600619354,Bruyères (Vosges),Epinal,43
OCESN035274R0300319355,Bruyères (Vosges),St-Dié-des-Vosges,48
OCESN035277R0200219357,Bouzonville,Thionville,67
OCESN035282R0500519360,Epinal,Laveline-d-Bruy. Mairie,52
OCESN035291R0300319370,Thionville,Kédange (Eglise),22
OCESN035300R0200219378,Thionville,Hombourg (Chapelle),26
OCESN035305R0600619385,Epinal,Saint-Léonard Centre,94
OCESN035305R0800819384,Corcieux Le Conti,Epinal,81
OCESN035315R0400419395,Arches,St-Dié-des-Vosges,85
OCESN035323R0300319405,Bruyères Chanzy Gare,Epinal,35
OCESN035366R0200219450,Arches,Epinal,20
OCESN035389R0500519461,Bruyères Chanzy Gare,St-Dié-des-Vosges,48
OCESN035392R0200219463,Thionville,Perl Gare DB,39
OCESN035410R0500519477,Sarreguemines,Sarre-Union,52
OCESN035411R0400419478,Herbitzheim R. Hambach,Sarre-Union,25
OCESN035412R0400419479,Sarreguemines,Sarralbe Centre,33
OCESN035413R0200219480,Loudrefing,Sarrebourg (Place Math),50
OCESN035415R0400419482,Herbitzheim Mairie,Sarre-Union,23
OCESN035416R0500519483,Sarrebourg,Sarreguemines,85
OCESN035417R0200219484,Fénétrange (Gendarm.),Sarrebourg-Abri-Phalsbo,33
OCESN035424R0800819492,Sarreguemines,Sarrebourg (Place Math),116
OCESN035435R0200219504,Berthelming-Mairie,Sarrebourg-Abri-Phalsbo,17
OCESN035440R0200219509,Metz-Ville,Nancy-Ville,105
OCESN035459R0400419530,Saverne,Sarralbe,64
OCESN035460R0400419531,Keskastel,Sarre-Union,11
OCESN035461R0200219532,Saverne,Sarre-Union,45
OCESN035473R0300319546,Bruyères (Vosges),Saint-Léonard Centre,39
OCESN035480R0100119547,Bar-le-Duc,Revigny,21
OCESN035481R0100119548,Charmes (Vosges),Epinal,40
OCESN035482R0100119549,Conflans-Jarny,Pagny-sur-Moselle,45
OCESN035532R0200219552,Figeac,Gramat,52
OCESN035576R0200219554,Mazamet,Toulouse-Matabiau,133
OCESN035589R0200219559,Muret,Pau,218
OCESN035593R0200219560,Pau,Toulouse-Matabiau,253
OCESN035603R0200219561,Agen,Castelsarrasin,56
OCESN035608R0200219563,Longages-Noé,St-Sulpice-sur-Lèze,11
OCESN035663R0700719574,Montréjeau-Gourdan-Pol.,Luchon-Richelieu,56
OCESN035691R0300319579,Ax-les-Thermes,Toulouse-Matabiau,145
OCESN035693R0200219581,Ax-les-Thermes,Foix,47
OCESN035695R0200219583,Ax-les-Thermes,Pamiers,83
OCESN035696R0500519584,Montréjeau-Gourdan-Pol.,Luchon,50
OCESN035741R0200219591,Ax-les-Thermes,Latour de Carol,49
OCESN035819R0200219594,Foix,Pamiers,33
OCESN035824R0200219595,Souillac,St-Denis-près-Martel,27
OCESN035852R0300319599,Albi-Ville,Toulouse-Matabiau,90
OCESN035866R0200219607,Foix,Toulouse-Matabiau,139
OCESN036000R0200219609,Comines (France),Lille Flandres,54
